parameter,mean,sd
size for the nbinomial observations (1/overdispersion),0.943,0.032
Precision for kappa,1.048,0.07
Range for alpha,4334.98,1178.459
Stdev for alpha,2.26,0.512
Range for tau,3278.71,1556.357
Stdev for tau,0.05,0.022
