"","lat","lon","id","pressure_24hr","temp7","precip7","winddir7","windspeed7","winddir7_full","date"
"1",19.1689,-99.9195,2634,0.399999999999977,64.4571428571429,0.448,83.9142857142857,7.72857142857143,191.142857142857,2015-11-12
"2",19.3639,-100.2921,2683,0.600000000000023,60.6571428571429,0.264,92.0428571428571,10.2285714285714,183.185714285714,2015-11-15
"3",19.4,-100.3,2700,3.5,58.7428571428571,0.032,102.728571428571,14.3571428571429,95.6714285714286,2020-10-28
"4",19.6,-100.3,2705,2.5,56.2,0.419,51.0714285714286,8.41428571428571,139.528571428571,2022-11-02
"5",20,-100.7,2835,-4.09999999999991,62.6428571428571,0.202,126.014285714286,10.7142857142857,53.9857142857143,2016-11-03
"6",20,-100.6,2819,1,65.1714285714286,0.226,101.528571428571,9.95714285714286,113.042857142857,2016-11-08
"7",20.1,-100.7,2838,-0.5,64.3285714285714,0.006,81.3285714285714,12.1142857142857,141.242857142857,2017-11-05
"8",20.1,-100.7,2848,2.10000000000002,64.0571428571428,0.024,73.3285714285714,10.8714285714286,106.671428571429,2020-10-24
"9",20.2,-101.1,2939,-2.20000000000005,64.4571428571429,0.64,141.028571428571,7.78571428571429,90,2019-11-06
"10",20.2,-100.7,2836,0.600000000000023,60.6857142857143,0.163,91.1571428571429,17.6142857142857,88.8428571428571,2016-11-03
"11",20.2,-100.7,2847,1.5,64.1285714285714,0.178,91.4571428571429,11.9285714285714,144.771428571429,2019-11-13
"12",20.5167,-99.8667,2615,0.399999999999864,60.1,0,89.8428571428571,12.9428571428571,120.328571428571,2008-11-06
"13",20.5167,-99.8667,2616,-4.20000000000005,58.7142857142857,0,114.985714285714,15.9428571428571,65.0142857142857,2009-11-07
"14",20.5167,-99.8667,2617,-2.29999999999995,61.7428571428571,0.047,100.685714285714,17.2571428571429,88.8571428571429,2010-11-02
"15",20.58,-100.42,2751,-2,56.2285714285714,0,112.8,18.5285714285714,67.2,2007-10-30
"16",20.6,-100.3833,2722,0.200000000000045,54.4428571428571,0,112.085714285714,15.0714285714286,67.9142857142857,2010-11-07
"17",20.6491,-100.4393,2755,1.30000000000018,62.6571428571429,1.071,89.2285714285714,12.9428571428571,90.7714285714286,2015-11-08
"18",20.7,-101.1,2940,0.5,60.6571428571429,0.004,133.671428571429,12.5857142857143,46.3285714285714,2020-11-04
"19",20.7028,-100.4464,2759,0.299999999999955,62.5285714285714,1.079,87.6,12.6285714285714,92.4,2015-11-09
"20",20.9,-100.7,2837,1.20000000000005,63.3428571428571,0,89.9857142857143,10.9428571428571,180.414285714286,2017-11-03
"21",20.9,-100.7,2844,-0.600000000000023,62.7571428571429,0.128,111.371428571429,11.6714285714286,118.6,2018-11-11
"22",20.9,-100.4,2745,1.59999999999991,63.0714285714286,0,98.4714285714286,14.1428571428571,182.985714285714,2022-11-05
"23",20.91,-100.33,2714,-0.200000000000045,63.1714285714286,1.21,99.9285714285714,12.6285714285714,134.442857142857,2015-11-05
"24",20.914,-100.7436,2850,-0.5,59.9428571428571,0,105.528571428571,15.9857142857143,93.4714285714286,2011-10-30
"25",20.9142,-100.7436,2851,1.59999999999991,63.3285714285714,0.3,86.4714285714286,14.9714285714286,123.242857142857,2015-10-25
"26",20.9167,-100.7458,2852,-3.5,65.4714285714286,0.032,124.2,13.9142857142857,55.8,2010-09-29
"27",21,-100.7,2849,-2.69999999999982,63.3714285714286,0,107.585714285714,14.5571428571429,72.4142857142857,2020-10-25
"28",21.1,-100.2,2670,1.70000000000005,63.6428571428571,1.366,102.857142857143,8.77142857142857,124.142857142857,2019-10-30
"29",21.3,-100.4,2734,0.5,62.4857142857143,0.124,113.6,11.5285714285714,163.371428571429,2018-11-11
"30",21.3,-100.1,2656,-1,63.5142857142857,0.696,91.1857142857143,9.8,99.9,2019-10-29
"31",21.6,-100.3,2692,-0.5,58.8142857142857,0.177,121.971428571429,11.1285714285714,142.142857142857,2017-10-30
"32",21.8984,-100.3563,2720,3.60000000000002,64.3428571428571,1.884,69.2285714285714,12.8,182.914285714286,2015-11-02
"33",21.8997,-100.3583,2721,0.300000000000068,64.1857142857143,1.626,70.6142857142857,12.6285714285714,143.242857142857,2015-11-04
"34",21.9,-100.4,2736,8.80000000000007,63.1428571428571,0.322,69.1571428571429,10.0428571428571,115.157142857143,2019-10-31
"35",22.0642,-99.3408,2520,-2.39999999999998,71.5428571428571,0.753,102.871428571429,7.17142857142857,77.1285714285714,2015-10-30
"36",22.2172,-100.7997,2854,-9.10000000000002,62.7428571428571,0.084,81.1857142857143,12.9142857142857,144.271428571429,2010-10-31
"37",22.5264,-100.2331,2677,-2.80000000000007,66.6857142857143,0.116,76.2857142857143,10.9142857142857,103.714285714286,2015-11-11
"38",23,-99.3,2511,NA,62.3285714285714,0.246,80.0142857142857,11.6428571428571,116.214285714286,2017-10-30
"39",23,-99.1,2479,NA,67.4714285714286,1.392,125.885714285714,10.2714285714286,184.657142857143,2016-11-11
"40",23.4,-99.4,2533,0.399999999999977,67.8428571428571,0.056,59.0285714285714,15.1857142857143,217.371428571429,2022-11-05
"41",23.4167,-99.3833,2525,3.89999999999998,74.7571428571429,0.221,42.8,14.6571428571429,137.2,2012-10-26
"42",23.4167,-99.3833,2526,-1.79999999999995,70.5,0.835,75.0714285714286,10.9142857142857,106.557142857143,2013-10-20
"43",23.4167,-99.3833,2527,-1.5,71.9571428571429,1.112,65.0142857142857,13.4571428571429,172.157142857143,2015-10-29
